OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area
31,11,CENTRAL SUBZONE,DTSZ11,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,8EFE9EC1AEF2DA0A,2014/12/05,30125.83670000000,28683.03990000000,5002.01615114000,1070723.25634999992
32,5,SINGAPORE GENERAL HOSPITAL,BMSZ05,N,BUKIT MERAH,BM,CENTRAL REGION,CR,91630902E00FD7B9,2014/12/05,28147.22100000000,29131.03680000000,2915.28204786000,533017.39073300001
33,12,DEPOT ROAD,BMSZ12,N,BUKIT MERAH,BM,CENTRAL REGION,CR,102DDFE3D40A95C9,2014/12/05,25244.20710000000,29407.09400000000,4281.17268085000,442502.82759100001
34,2,PEOPLE'S PARK,OTSZ02,Y,OUTRAM,OT,CENTRAL REGION,CR,B4120D23006C932A,2014/12/05,28831.78070000000,29419.64570000000,1822.19271780000,93140.43764220001
35,2,BUKIT MERAH,BMSZ02,N,BUKIT MERAH,BM,CENTRAL REGION,CR,1C51019439A68700,2014/12/05,26360.79900000000,29384.14290000000,3074.96323452000,411722.82258300000
36,3,CHINATOWN,OTSZ03,Y,OUTRAM,OT,CENTRAL REGION,CR,0FF1661344C84AED,2014/12/05,29153.96760000000,29158.04430000000,4297.59991003000,587222.67885400006
37,4,PHILLIP,DTSZ04,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,615D4EDDEF809F8E,2014/12/05,29706.72420000000,29744.90790000000,871.55488779800,39437.93527030000
38,5,RAFFLES PLACE,DTSZ05,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,72107B11807074F4,2014/12/05,29968.61750000000,29572.76180000000,1872.75216120000,188767.48970599999
39,4,CHINA SQUARE,OTSZ04,Y,OUTRAM,OT,CENTRAL REGION,CR,B609DF5587626C8F,2014/12/05,29509.64370000000,29646.44950000000,1605.27969734000,133006.93601199999
40,10,TIONG BAHRU,BMSZ10,N,BUKIT MERAH,BM,CENTRAL REGION,CR,A0FB4B68155D164A,2014/12/05,27785.67200000000,29590.39510000000,3303.21489952000,448127.58444100001
41,12,BAYFRONT SUBZONE,DTSZ12,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,197F5E664DA4D5E1,2014/12/05,30806.24180000000,29530.16700000000,2897.12642569000,521200.52237600001
42,4,TIONG BAHRU STATION,BMSZ04,N,BUKIT MERAH,BM,CENTRAL REGION,CR,91FFE927ABE3E4DB,2014/12/05,27277.46980000000,29607.02370000000,2506.68791910000,350787.56142099999
43,6,CLIFFORD PIER,DTSZ06,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,945CC212CA80626F,2014/12/05,30379.50410000000,29776.43340000000,2405.99092471000,261843.89681599999
44,5,MARINA EAST (MP),MPSZ05,N,MARINE PARADE,MP,CENTRAL REGION,CR,1575868DF0D30E32,2014/12/05,33715.69750000000,30512.24760000000,6657.15139269000,1590339.79554000008
45,3,MARINA CENTRE,DTSZ03,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,2AB099523A1AEAD5,2014/12/05,30938.09850000000,30471.82670000000,4047.11116872000,886954.80920000002
46,3,BRAS BASAH,MUSZ03,Y,MUSEUM,MU,CENTRAL REGION,CR,5A1130F73E65C2D7,2014/12/05,29793.09310000000,30958.09520000000,2348.65717267000,223206.60318700000
47,4,OXLEY,RVSZ04,Y,RIVER VALLEY,RV,CENTRAL REGION,CR,5A22C0945D1794D2,2014/12/05,28802.35550000000,31053.67170000000,1989.48702648000,200052.68482699999
48,2,CITY HALL,DTSZ02,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,C3663E9926627289,2014/12/05,30209.07360000000,30536.50790000000,4544.16984709000,710568.70293799997
49,6,MEI CHIN,QTSZ06,N,QUEENSTOWN,QT,CENTRAL REGION,CR,F15BD95C8778DC31,2014/12/05,24651.06930000000,30651.13400000000,3580.44285697000,748683.99586300005
50,4,EAST COAST,MPSZ04,N,MARINE PARADE,MP,CENTRAL REGION,CR,768CE19AACFCB9EB,2014/12/05,36386.52610000000,31338.90160000000,5333.00867129000,591778.99973299995
51,11,NATIONAL UNIVERSITY OF S'PORE,QTSZ11,N,QUEENSTOWN,QT,CENTRAL REGION,CR,247B3009E9665A6E,2014/12/05,21688.92430000000,30930.12130000000,5625.41689089000,1755950.43882000004
52,1,ONE TREE HILL,RVSZ01,Y,RIVER VALLEY,RV,CENTRAL REGION,CR,0FF5E50B9581D2BE,2014/12/05,27315.55920000000,31563.79680000000,2464.41309401000,340743.34164499998
53,3,SOMERSET,ORSZ03,Y,ORCHARD,OR,CENTRAL REGION,CR,F70C32D861DD6CA5,2014/12/05,28626.56110000000,31494.90480000000,3039.80523249000,329437.93320000003
54,9,BENCOOLEN,RCSZ09,Y,ROCHOR,RC,CENTRAL REGION,CR,CF8BBFA03E1B0246,2014/12/05,29999.06260000000,31594.59400000000,1916.09754822000,170664.30451700001
55,3,LEONIE HILL,RVSZ03,Y,RIVER VALLEY,RV,CENTRAL REGION,CR,29BCAA5838A4EAC0,2014/12/05,28082.93970000000,31145.10790000000,2676.35256334000,368482.98826000001
56,15,PORT,QTSZ15,N,QUEENSTOWN,QT,CENTRAL REGION,CR,543ED13CCC907021,2014/12/05,21576.07650000000,28788.21720000000,23438.81853600000,7601893.99531999975
57,1,DHOBY GHAUT,MUSZ01,Y,MUSEUM,MU,CENTRAL REGION,CR,AD3DE26295353551,2014/12/05,29320.07350000000,31245.74830000000,2584.78830957000,221973.34182700000
58,1,BUGIS,DTSZ01,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,E042FEB6C937D5A5,2014/12/05,30528.33470000000,31278.46440000000,2658.88164763000,280174.76669600001
59,10,VICTORIA,RCSZ10,Y,ROCHOR,RC,CENTRAL REGION,CR,DD1436D810825828,2014/12/05,30189.21010000000,31335.72520000000,2093.77023342000,214250.29812799999
60,2,PATERSON,RVSZ02,Y,RIVER VALLEY,RV,CENTRAL REGION,CR,350FD169665248C4,2014/12/05,27809.31710000000,31511.37330000000,1753.92708041000,173121.77361999999
61,15,TELOK BLANGAH RISE,BMSZ15,N,BUKIT MERAH,BM,CENTRAL REGION,CR,92F3596780DFCCEA,2014/12/05,27029.96380000000,28501.66490000000,3713.83818129000,533671.25313600001
62,9,TANJONG PAGAR,DTSZ09,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,4FFE6642FB35D40A,2014/12/05,29397.83100000000,28706.35150000000,1787.71045089000,145518.66386800000
63,16,EVERTON PARK,BMSZ16,N,BUKIT MERAH,BM,CENTRAL REGION,CR,CF9CAD50B0D9A528,2014/12/05,28333.57710000000,28602.99260000000,3776.68338771000,635704.05666700006
64,4,TANGLIN HALT,QTSZ04,N,QUEENSTOWN,QT,CENTRAL REGION,CR,5903D38684211B10,2014/12/05,23925.44080000000,31512.78570000000,3556.22909388000,503220.75138700003
65,6,MACKENZIE,RCSZ06,Y,ROCHOR,RC,CENTRAL REGION,CR,D51BAF9568A828F4,2014/12/05,29680.01820000000,32062.92630000000,1216.48063087000,55681.28248330000
66,3,SUNGEI ROAD,RCSZ03,Y,ROCHOR,RC,CENTRAL REGION,CR,31DE89B5FC57F46A,2014/12/05,30601.34450000000,32003.10280000000,1727.96350256000,116329.99656499999
67,8,ONE NORTH,QTSZ08,N,QUEENSTOWN,QT,CENTRAL REGION,CR,D437A9A68F04D2D4,2014/12/05,23299.24370000000,31176.16050000000,6591.90791444000,2051652.62174000009
68,5,TANJONG RHU,KLSZ05,N,KALLANG,KL,CENTRAL REGION,CR,928DCE8E44F904C8,2014/12/05,32740.12080000000,31438.30840000000,6515.75857503000,2434594.02911000000
69,1,MOUNTBATTEN,MPSZ01,N,MARINE PARADE,MP,CENTRAL REGION,CR,A9F9036C2E4F7623,2014/12/05,34449.70440000000,31557.74460000000,5430.26706103000,1713623.00463999994
70,3,COMMONWEALTH,QTSZ03,N,QUEENSTOWN,QT,CENTRAL REGION,CR,2423D1D91E730899,2014/12/05,24278.77090000000,31919.97000000000,2713.42997115000,310513.64737399999
71,10,DOVER,QTSZ10,N,QUEENSTOWN,QT,CENTRAL REGION,CR,D79DDCEC02F8DF37,2014/12/05,22015.53240000000,31800.52470000000,5637.72200807000,1386643.31587999989
72,3,RIDOUT,TNSZ03,N,TANGLIN,TN,CENTRAL REGION,CR,664D9D93F09E7CD1,2014/12/05,25568.30770000000,31752.66860000000,6450.97287923000,1951865.75496000005
73,4,CAIRNHILL,NTSZ04,Y,NEWTON,NT,CENTRAL REGION,CR,8B79CA72836AD7A6,2014/12/05,28482.66720000000,32108.19190000000,3853.90042330000,452471.83181900001
74,8,CLEMENTI WEST,CLSZ08,N,CLEMENTI,CL,WEST REGION,WR,22F5FFEEEB8E5284,2014/12/05,20184.35080000000,31651.88340000000,5211.86752843000,697501.71434800001
75,6,TUAS VIEW EXTENSION,TSSZ06,N,TUAS,TS,WEST REGION,WR,D2A66C8A6232EA9A,2014/12/05,5092.89490000000,26137.87350000000,54928.09387420000,27710950.07539999858
76,5,MONK'S HILL,NTSZ05,Y,NEWTON,NT,CENTRAL REGION,CR,23972F8A61891E05,2014/12/05,28922.84560000000,32259.78560000000,2446.73341643000,171720.62073000000
77,7,SIGLAP,BDSZ07,N,BEDOK,BD,EAST REGION,ER,9483FA426FD007AE,2014/12/05,38435.46790000000,32101.88120000000,5436.89053335000,1097833.70301999990
78,7,CLEMENTI WOODS,CLSZ07,N,CLEMENTI,CL,WEST REGION,WR,F01FB50693FE0377,2014/12/05,20764.19800000000,31824.74210000000,5275.74935980000,1053493.74726999993
79,5,PIONEER SECTOR,PNSZ05,N,PIONEER,PN,WEST REGION,WR,F3241D6C0FEF13ED,2014/12/05,8872.75010000000,31423.44340000000,8489.98257786000,2796006.82811000012
80,10,PENJURU CRESCENT,JESZ10,N,JURONG EAST,JE,WEST REGION,WR,BC263278706376DE,2014/12/05,17651.30900000000,31799.61020000000,9876.04909187000,3049720.08234000020
81,1,ORANGE GROVE,NTSZ01,Y,NEWTON,NT,CENTRAL REGION,CR,136BF08C36E3A625,2014/12/05,27668.18410000000,32484.76400000000,2476.24629755000,336221.49409599998
82,4,KAMPONG BUGIS,KLSZ04,N,KALLANG,KL,CENTRAL REGION,CR,0524461C92F35D94,2014/12/05,32138.22160000000,32275.69070000000,4018.12762150000,741437.99224399996
83,2,BOULEVARD,ORSZ02,Y,ORCHARD,OR,CENTRAL REGION,CR,B26DFAF98B8F3E52,2014/12/05,27916.92710000000,31967.00640000000,4109.23134961000,460550.42984800000
84,6,ISTANA NEGARA,NTSZ06,Y,NEWTON,NT,CENTRAL REGION,CR,A2FE23F6A19B509D,2014/12/05,29226.82840000000,31963.28940000000,3730.34105430000,543483.68099000002
85,2,LITTLE INDIA,RCSZ02,Y,ROCHOR,RC,CENTRAL REGION,CR,BEC03B4580EB622F,2014/12/05,30307.51020000000,32122.99080000000,2203.28025819000,278303.54329599999
86,4,GUL BASIN,PNSZ04,N,PIONEER,PN,WEST REGION,WR,482D973AA378FFF0,2014/12/05,10327.42330000000,31746.76160000000,9465.22218290000,1769495.16100999992
87,2,FORT CANNING,MUSZ02,Y,MUSEUM,MU,CENTRAL REGION,CR,B3E02024E600E8BA,2014/12/05,29413.97180000000,30713.07230000000,2585.22940432000,385093.11344699998
88,8,FARRER COURT,BTSZ08,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,709639180E81EC72,2014/12/05,24862.82170000000,33234.79510000000,4192.28952799000,558760.53159599996
89,5,TUAS VIEW,TSSZ05,N,TUAS,TS,WEST REGION,WR,AE9636556732D218,2014/12/05,5753.63370000000,31501.45490000000,11013.62448540000,5675810.84628999978
90,1,NASSIM,TNSZ01,N,TANGLIN,TN,CENTRAL REGION,CR,960862F1C1B08BFA,2014/12/05,27002.69280000000,32905.57600000000,6241.33287686000,2096085.23017999995
91,5,WEST COAST,CLSZ05,N,CLEMENTI,CL,WEST REGION,WR,0BE668D9B5368B3F,2014/12/05,19293.76250000000,33172.62280000000,3644.13182846000,722588.68370199995
92,8,BAYSHORE,BDSZ08,N,BEDOK,BD,EAST REGION,ER,9767E56D0C09A484,2014/12/05,40835.37700000000,32903.59650000000,8698.59695849000,2550461.67338000005
93,3,BENOI SECTOR,PNSZ03,N,PIONEER,PN,WEST REGION,WR,7CD74371F5BAD860,2014/12/05,11668.24410000000,33336.52670000000,6249.47706765000,2042630.98025000002
94,2,GUL CIRCLE,PNSZ02,N,PIONEER,PN,WEST REGION,WR,029BD940F4455194,2014/12/05,9693.97120000000,33074.42900000000,7268.45075202000,3260399.45892000012
95,2,CHATSWORTH,TNSZ02,N,TANGLIN,TN,CENTRAL REGION,CR,06B9FD8607810069,2014/12/05,26896.40190000000,31045.01870000000,5469.44109516000,1346152.77734000003
96,5,KAMPONG GLAM,RCSZ05,Y,ROCHOR,RC,CENTRAL REGION,CR,DCC789993ED54477,2014/12/05,30934.98900000000,31623.14830000000,1681.62699512000,171334.39197400000
97,8,SELEGIE,RCSZ08,Y,ROCHOR,RC,CENTRAL REGION,CR,E8FA232C5BEEA956,2014/12/05,29817.33040000000,31611.00390000000,1478.04996950000,49626.01833120000
