postcode,szzcd,district
140038,QT,03
140041,QT,03
140042,QT,03
140045,QT,03
140046,QT,03
140047,QT,03
140048,QT,03
140049,QT,03
140050,QT,03
140051,QT,03
140052,QT,03
140055,QT,03
140056,QT,03
140057,QT,03
140058,QT,03
140059,QT,03
140060,QT,03
140061,QT,03
140062,QT,03
140063,QT,03
140064,QT,03
140065,QT,03
140066,QT,03
140067,QT,03
140068,QT,03
140069,QT,03
140070,QT,03
140071,QT,03
140072,QT,03
140073,QT,03
140075,QT,03
140079,QT,03
140081,QT,03
140082,QT,03
140083,QT,03
140084,QT,03
140085,QT,03
140086,QT,03
140087,QT,03
140088,QT,03
140089,QT,03
140090,QT,03
140091,QT,03
140092,QT,03
140093,QT,03
140094,QT,03
140095,QT,03
140096,QT,03
140097,QT,03
140098,QT,03
140099,QT,03
141007,QT,03
141023,QT,03
141026,QT,03
141029,QT,03
141031,QT,03
141035,QT,03
141036,QT,03
141041,QT,03
141042,QT,03
141043,QT,03
141044,QT,03
141045,QT,03
141048,QT,03
141049,QT,03
141050,QT,03
141051,QT,03
141052,QT,03
141053,QT,03
141055,QT,03
141056,QT,03
141057,QT,03
141058,QT,03
141060,QT,03
141080,QT,03
141081,QT,03
141082,QT,03
141083,QT,03
141089,QT,03
141090,QT,03
141092,QT,03
141150,QT,03
141168,QT,03
142027,QT,03
142032,QT,03
142033,QT,03
142034,QT,03
142043,QT,03
142044,QT,03
142050,QT,03
142052,QT,03
142053,QT,03
142055,QT,03
142056,QT,03
142058,QT,03
142059,QT,03
142061,QT,03
142062,QT,03
142089,QT,03
142090,QT,03
142091,QT,03
142093,QT,03
143040,QT,03
143061,QT,03
143062,QT,03
144061,QT,03
150001,BM,03
150002,BM,03
150003,BM,03
150005,BM,03
150007,BM,03
150008,BM,03
150009,BM,03
150010,BM,03
150011,BM,03
150012,BM,03
150013,BM,03
150014,BM,03
150015,BM,03
150016,BM,03
150035,BM,03
150036,BM,03
150037,BM,03
150038,BM,03
150043,BM,03
150044,BM,03
150045,BM,03
150046,BM,03
150049,BM,03
150050,BM,03
150051,BM,03
150052,BM,03
150053,BM,03
150054,BM,03
150056,BM,03
150058,BM,03
150059,BM,03
150061,BM,03
150068,BM,03
150069,BM,03
150070,BM,03
150071,BM,03
150072,BM,03
150078,BM,03
150080,BM,03
150081,BM,03
150082,BM,03
150083,BM,03
150086,BM,03
150087,BM,03
150088,BM,03
150089,BM,03
150090,BM,03
150091,BM,03
150092,BM,03
150093,BM,03
150101,BM,03
150102,BM,03
150103,BM,03
150104,BM,03
150105,BM,03
150106,BM,03
150110,BM,03
150111,BM,03
150112,BM,03
150113,BM,03
150114,BM,03
150115,BM,03
150116,BM,03
150117,BM,03
150118,BM,03
150121,BM,03
150122,BM,03
150124,BM,03
150125,BM,03
150127,BM,03
150128,BM,03
150129,BM,03
150130,BM,03
150161,BM,03
150164,BM,03
150165,BM,03
151001,BM,03
151002,BM,03
151003,BM,03
151006,BM,03
151007,BM,03
151008,BM,03
