OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area,ADDRESS
23,1,STRAITS VIEW,SVSZ01,Y,STRAITS VIEW,SV,CENTRAL REGION,CR,21451799CA1AB6EF,2014/12/05,30832.90170000000,28194.08430000000,5277.76082729000,1127297.23736999999,"30 Marina Coastal Drive, Singapore 018945"
24,1,MARITIME SQUARE,BMSZ01,N,BUKIT MERAH,BM,CENTRAL REGION,CR,C1AC31ABF9978DDB,2014/12/05,25805.78670000000,27911.41930000000,13737.11618100000,2701634.33974999981,"HarbourFront Tower Two, 3 HarbourFront Place, Singapore 099254; HarbourFront Tower One, 1 HarbourFront Place, Singapore 098633; Keppel Bay Towers, 1 HarbourFront Avenue, Singapore 098632"
25,14,TELOK BLANGAH WAY,BMSZ14,N,BUKIT MERAH,BM,CENTRAL REGION,CR,0F0735F1BDDF53C7,2014/12/05,26570.51730000000,28871.89220000000,2290.22726176000,276826.81246099999,"Masjid Al-Amin (Mosque), 50 Telok Blangah Way, Singapore 098801; Bus stop at Al-amin Mosque (14271); Radin Mas Community Club (CC), 1 Telok Blangah Crescent, Singapore 098915; Bus stop at Blk 25 (14279); 25 Telok Blangah Crescent, Singapore 090025"
26,7,MAXWELL,DTSZ07,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,CB2D9FC5CAB792B1,2014/12/05,29392.04780000000,29096.75390000000,1419.80185707000,63664.96676670000,"CPF Building, 79 Robinson Road, Singapore 068897; 8 Shenton Way, Singapore 068811"
27,8,CECIL,DTSZ08,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,65AA82AF6F4D925D,2014/12/05,29730.19830000000,29011.32840000000,2116.09466694000,196619.86318700001,"The Octagon, 105 Cecil Street, Singapore 069534; 90 Cecil Street, Singapore 069531; Cecil Court, 138 Cecil Street, Singapore 069538; The Globe, 100 Cecil Street, Singapore 069532; Pil Building, 140 Cecil Street, Singapore 069540; Eagles Center, 31 Boon Tat Street, Singapore 069625; Keck Seng Tower, 133 Cecil Street, Singapore 069535; Telok Ayer Conservation Area, 29 Boon Tat Street, Singapore 069624; 31 Stanley Street, Singapore 068740; Tong Eng Building, 101 Cecil Street, Singapore 069533"
28,11,KAMPONG TIONG BAHRU,BMSZ11,N,BUKIT MERAH,BM,CENTRAL REGION,CR,CF28DD4E7898CC7B,2014/12/05,27335.83050000000,28979.77310000000,3304.06046472000,365333.42619099998,"Tiong Bahru MRT Station (EW17), 300 Tiong Bahru Road, Singapore 168731; Bus stop opposite Tiong Bahru Plaza (10161); Central Plaza, 298 Tiong Bahru Road, Singapore 168730; 18 Jalan Membina, Singapore 164018; Bus stop at Tiong Bahru Plaza (10169); Tiong Bahru Plaza / Central Plaza, 302 Tiong Bahru Road, Singapore 168732; 19 Jalan Membina, Singapore 163019; 18A Jalan Membina, Singapore 165018; 19A Jalan Membina, Singapore 164019; Central Green Condominium, 1 Jalan Membina, Singapore 169479"
29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014/12/05,25280.26120000000,28791.46060000000,5317.78168432000,1454827.64583999990,"78A Telok Blangah Street 32, Singapore 101078; 78B Telok Blangah Street 32, Singapore 102078; Bus stop at Telok Blangah Market / Food Centre (14499); Fairways, 612 Telok Blangah Road, Singapore 109026; 45 Telok Blangah Drive, Singapore 100045"
30,14,PASIR PANJANG 2,QTSZ14,N,QUEENSTOWN,QT,CENTRAL REGION,CR,C6E665749CEADED6,2014/12/05,23692.63850000000,28894.40990000000,5797.23131893000,853206.57172400004,"Mobil Service Station, 242A Pasir Panjang Road, Singapore 118598; The Village Centre, 3 South Buona Vista Road, Singapore 118136; Pasir Panjang Hill Brethren Church, 3 Pasir Panjang Hill, Singapore 118827; 6 Pasir Panjang Hill, Singapore 118830; 9 South Buona Vista Road, Singapore 118141; 8 Pasir Panjang Hill, Singapore 118897; 10 Pasir Panjang Hill, Singapore 118898; Bus stop at Redwood West (15221); 5 Pasir Panjang Hill, Singapore 118829; Bus stop opposite Redwood West (15229)"
31,11,CENTRAL SUBZONE,DTSZ11,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,8EFE9EC1AEF2DA0A,2014/12/05,30125.83670000000,28683.03990000000,5002.01615114000,1070723.25634999992,
32,5,SINGAPORE GENERAL HOSPITAL,BMSZ05,N,BUKIT MERAH,BM,CENTRAL REGION,CR,91630902E00FD7B9,2014/12/05,28147.22100000000,29131.03680000000,2915.28204786000,533017.39073300001,"Singapore General Hospital, 1 Hospital Drive, Singapore 169608"
33,12,DEPOT ROAD,BMSZ12,N,BUKIT MERAH,BM,CENTRAL REGION,CR,102DDFE3D40A95C9,2014/12/05,25244.20710000000,29407.09400000000,4281.17268085000,442502.82759100001,"Bus stop after Hewlett Packard (14209); 110A Depot Road, Singapore 101110; Depot Heights Shopping Centre, 108 Depot Road, Singapore 100108; Bus stop at Blk 109B (14201); 110 Depot Road, Singapore 100110; 109A Depot Road, Singapore 101109; 108A Depot Road, Singapore 101108; 109B Depot Road, Singapore 102109; 23 Depot Lane, Singapore 109753; 25A Depot Lane, Singapore 109765"
34,2,PEOPLE'S PARK,OTSZ02,Y,OUTRAM,OT,CENTRAL REGION,CR,B4120D23006C932A,2014/12/05,28831.78070000000,29419.64570000000,1822.19271780000,93140.43764220001,"People's Park Complex, 1 Park Road, Singapore 059108; Bus stop at People's Park Complex (05013); People's Park Food Centre, 32 New Market Road, Singapore 050032; Chinatown MRT Station (NE4/DT19), 151 New Bridge Road, Singapore 059443; 69 Temple Street, Singapore 058613; Kreta Ayer Conservation Area, 227 New Bridge Road, Singapore 059433; The Majestic, 80 Eu Tong Sen Street, Singapore 059810; Kreta Ayer Conservation Area, 229 New Bridge Road, Singapore 059434; Kreta Ayer Conservation Area, 231 New Bridge Road, Singapore 059435; 72 Smith Street, Singapore 058969"
35,2,BUKIT MERAH,BMSZ02,N,BUKIT MERAH,BM,CENTRAL REGION,CR,1C51019439A68700,2014/12/05,26360.79900000000,29384.14290000000,3074.96323452000,411722.82258300000,"Tiong Bahru Food Centre, 1091A Lower Delta Road, Singapore 169207; 27A Jalan Membina, Singapore 163027; 1091 Lower Delta Road, Singapore 169202; 104 Jalan Bukit Merah, Singapore 160104; 1080 Lower Delta Road, Singapore 169311"
36,3,CHINATOWN,OTSZ03,Y,OUTRAM,OT,CENTRAL REGION,CR,0FF1661344C84AED,2014/12/05,29153.96760000000,29158.04430000000,4297.59991003000,587222.67885400006,"Chinatown MRT Station (NE4/DT19), 151 New Bridge Road, Singapore 059443; The Majestic, 80 Eu Tong Sen Street, Singapore 059810; Bus stop at People's Park Complex (05013); People's Park Complex, 1 Park Road, Singapore 059108; People's Park Food Centre, 32 New Market Road, Singapore 050032; Yue Hwa (Nam Tin) Building, 70 Eu Tong Sen Street, Singapore 059805; 195 New Bridge Road, Singapore 059425; Kreta Ayer Conservation Area, 203 New Bridge Road, Singapore 059429; Kreta Ayer Conservation Area, 205 New Bridge Road, Singapore 059430; 193 New Bridge Road, Singapore 059424"
37,4,PHILLIP,DTSZ04,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,615D4EDDEF809F8E,2014/12/05,29706.72420000000,29744.90790000000,871.55488779800,39437.93527030000,"OCBC Centre East, 63 Chulia Street, Singapore 049514; Lippo Building, 1 Phillip Street, Singapore 048692; Commerce Point, 3 Phillip Street, Singapore 048693; Tan Ean Kiam Building, 15 Phillip Street, Singapore 048694; Boat Quay Conservation Area, 26 Boat Quay, Singapore 049816; Grand Building, 17 Phillip Street, Singapore 048695; Harry's Bar, 28 Boat Quay, Singapore 049818; Boat Quay Conservation Area, 52 Circular Road, Singapore 049407; The Penny Black, 27 Boat Quay, Singapore 049817; Boat Quay Conservation Area, 51 Circular Road, Singapore 049406"
38,5,RAFFLES PLACE,DTSZ05,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,72107B11807074F4,2014/12/05,29968.61750000000,29572.76180000000,1872.75216120000,188767.48970599999,"Raffles Place MRT Station (EW14/NS26), 5 Raffles Place, Singapore 048618; 7 Raffles Place, Singapore 048625; OUB Centre, 1 Raffles Place, Singapore 048616; Bharat Building, 3 Raffles Place, Singapore 048617; Royal Brothers Building, 22 Malacca Street, Singapore 048980; The Arcade, 11 Collyer Quay, Singapore 049317; Clifford Centre, 24 Raffles Place, Singapore 048621; Malacca Centre, 20 Malacca Street, Singapore 048979; Chevron House, 30 Raffles Place, Singapore 048622; Kepbank@Central, 63 Market Street, Singapore 048942"
39,4,CHINA SQUARE,OTSZ04,Y,OUTRAM,OT,CENTRAL REGION,CR,B609DF5587626C8F,2014/12/05,29509.64370000000,29646.44950000000,1605.27969734000,133006.93601199999,"33 Pekin Street, Singapore 048763; 32 Pekin Street, Singapore 048762; 25 China Street, Singapore 049567; 23 China Street, Singapore 049565; Far East Square, 36 Pekin Street, Singapore 048766; 26 China Street, Singapore 049568; China Court (China Square Central), 20 Cross Street, Singapore 048422; 19 China Street, Singapore 049561; 35 Pekin Street, Singapore 048765; 40 Pekin Street, Singapore 048770"
40,10,TIONG BAHRU,BMSZ10,N,BUKIT MERAH,BM,CENTRAL REGION,CR,A0FB4B68155D164A,2014/12/05,27785.67200000000,29590.39510000000,3303.21489952000,448127.58444100001,"Tiong Bahru MRT Station (EW17), 300 Tiong Bahru Road, Singapore 168731; Bus stop opposite Tiong Bahru Plaza (10161); Central Plaza, 298 Tiong Bahru Road, Singapore 168730; 18 Jalan Membina, Singapore 164018; Bus stop at Tiong Bahru Plaza (10169); Tiong Bahru Plaza / Central Plaza, 302 Tiong Bahru Road, Singapore 168732; 19 Jalan Membina, Singapore 163019; 18A Jalan Membina, Singapore 165018; 19A Jalan Membina, Singapore 164019; Central Green Condominium, 1 Jalan Membina, Singapore 169479"
41,12,BAYFRONT SUBZONE,DTSZ12,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,197F5E664DA4D5E1,2014/12/05,30806.24180000000,29530.16700000000,2897.12642569000,521200.52237600001,
42,4,TIONG BAHRU STATION,BMSZ04,N,BUKIT MERAH,BM,CENTRAL REGION,CR,91FFE927ABE3E4DB,2014/12/05,27277.46980000000,29607.02370000000,2506.68791910000,350787.56142099999,"Tiong Bahru MRT Station (EW17), 300 Tiong Bahru Road, Singapore 168731; Bus stop opposite Tiong Bahru Plaza (10161); Central Plaza, 298 Tiong Bahru Road, Singapore 168730; 18 Jalan Membina, Singapore 164018; Bus stop at Tiong Bahru Plaza (10169); Tiong Bahru Plaza / Central Plaza, 302 Tiong Bahru Road, Singapore 168732; 19 Jalan Membina, Singapore 163019; 18A Jalan Membina, Singapore 165018; 19A Jalan Membina, Singapore 164019; Central Green Condominium, 1 Jalan Membina, Singapore 169479"
43,6,CLIFFORD PIER,DTSZ06,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,945CC212CA80626F,2014/12/05,30379.50410000000,29776.43340000000,2405.99092471000,261843.89681599999,
44,5,MARINA EAST (MP),MPSZ05,N,MARINE PARADE,MP,CENTRAL REGION,CR,1575868DF0D30E32,2014/12/05,33715.69750000000,30512.24760000000,6657.15139269000,1590339.79554000008,
45,3,MARINA CENTRE,DTSZ03,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,2AB099523A1AEAD5,2014/12/05,30938.09850000000,30471.82670000000,4047.11116872000,886954.80920000002,
46,3,BRAS BASAH,MUSZ03,Y,MUSEUM,MU,CENTRAL REGION,CR,5A1130F73E65C2D7,2014/12/05,29793.09310000000,30958.09520000000,2348.65717267000,223206.60318700000,"Singapore Art Museum, 71 Bras Basah Road, Singapore 189555; Plaza By The Park, 51 Bras Basah Road, Singapore 189554; Bus stop at Manulife Centre (04189); Bras Basah MRT Station (CC2), 65 Bras Basah Road, Singapore 189561; Singapore Management University (SMU) - School of Information Systems (SIS), 80 Stamford Road, Singapore 178902; Maghain Aboth Synagogue, 24 Waterloo Street, Singapore 187950; 26 Waterloo Street, Singapore 187968; Church of Saints Peter and Paul, 225A Queen Street, Singapore 188551"
47,4,OXLEY,RVSZ04,Y,RIVER VALLEY,RV,CENTRAL REGION,CR,5A22C0945D1794D2,2014/12/05,28802.35550000000,31053.67170000000,1989.48702648000,200052.68482699999,"Lloyd Mansion, 3 Lloyd Road, Singapore 239092; 44 Oxley Road, Singapore 238667; Oxley Neo Residences, 41A Oxley Road, Singapore 238673; Lloyd Mansion, 5 Lloyd Road, Singapore 239093; 43 Oxley Road, Singapore 238632; 45 Oxley Road, Singapore 238633; 47 Oxley Road, Singapore 238634; 41 Oxley Road, Singapore 238631; 49 Oxley Road, Singapore 238635; Lloyd Mansion, 7 Lloyd Road, Singapore 239094"
48,2,CITY HALL,DTSZ02,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,C3663E9926627289,2014/12/05,30209.07360000000,30536.50790000000,4544.16984709000,710568.70293799997,"City Hall, 3 Saint Andrew's Road, Singapore 178958; Old Supreme Court (High Court) Singapore, 1 Saint Andrew's Road, Singapore 178957; Supreme Court Building, 1 Supreme Court Lane, Singapore 178879; Bus stop at Supreme Court (02181); The Adelphi, 1 Coleman Street, Singapore 179803"
49,6,MEI CHIN,QTSZ06,N,QUEENSTOWN,QT,CENTRAL REGION,CR,F15BD95C8778DC31,2014/12/05,24651.06930000000,30651.13400000000,3580.44285697000,748683.99586300005,"158 Mei Ling Street, Singapore 140158; Mei Chin Road Market, 159 Mei Chin Road, Singapore 140159; Global Indian International School (GIIS) - Queenstown Campus, 3 Mei Chin Road, Singapore 149254; 162A Mei Ling Street, Singapore 141162; Bus stop at Blk 158 (11579); 152 Mei Ling Street, Singapore 140152; 162 Mei Ling Street, Singapore 140162; 153A Mei Ling Street, Singapore 141153"
50,4,EAST COAST,MPSZ04,N,MARINE PARADE,MP,CENTRAL REGION,CR,768CE19AACFCB9EB,2014/12/05,36386.52610000000,31338.90160000000,5333.00867129000,591778.99973299995,"Bus stop at Island Resort Singapore (93179); Neptune Court, 3 Marine Vista, Singapore 449027; Goldkist Beach Resort, 1110 East Coast Parkway, Singapore 449880"
51,11,NATIONAL UNIVERSITY OF S'PORE,QTSZ11,N,QUEENSTOWN,QT,CENTRAL REGION,CR,247B3009E9665A6E,2014/12/05,21688.92430000000,30930.12130000000,5625.41689089000,1755950.43882000004,"11 Kent Ridge Road, Singapore 119220"
52,1,ONE TREE HILL,RVSZ01,Y,RIVER VALLEY,RV,CENTRAL REGION,CR,0FF5E50B9581D2BE,2014/12/05,27315.55920000000,31563.79680000000,2464.41309401000,340743.34164499998,"Kim Lin Park, 14 One Tree Hill, Singapore 248678; Kim Lin Park, 16 One Tree Hill, Singapore 248679; Kim Lin Park, 17 One Tree Hill, Singapore 248680; 36 Jalan Tupai, Singapore 249170; 27 One Tree Hill, Singapore 248710; Kim Lin Park, 28 Jalan Kelawar, Singapore 249269; Kim Lin Park, 18 One Tree Hill, Singapore 248681; 34 Jalan Tupai, Singapore 249169; Kim Lin Park, 26 Jalan Kelawar, Singapore 249267; 13 One Tree Hill, Singapore 248709"
53,3,SOMERSET,ORSZ03,Y,ORCHARD,OR,CENTRAL REGION,CR,F70C32D861DD6CA5,2014/12/05,28626.56110000000,31494.90480000000,3039.80523249000,329437.93320000003,"Bus stop at Somerset MRT (08121); Somerset MRT Station (NS23), 1 Somerset Road, Singapore 238162; 277 Orchard Road, Singapore 238858; 313@Somerset, 313 Orchard Road, Singapore 238895; Pan Pacific Serviced Suites, 96 Somerset Road, Singapore 238163"
54,9,BENCOOLEN,RCSZ09,Y,ROCHOR,RC,CENTRAL REGION,CR,CF8BBFA03E1B0246,2014/12/05,29999.06260000000,31594.59400000000,1916.09754822000,170664.30451700001,"Nanyang Academy Of Fine Arts (NAFA) Campus 1, 80 Bencoolen Street, Singapore 189655; Sunshine Plaza, 91 Bencoolen Street, Singapore 189652; 77 Bencoolen Street, Singapore 189653; Bus stop opposite Prime Centre (07571); Sunshine Plaza, 10 Prinsep Link, Singapore 187948; Singapore Council Of Women's Organisations Centre (SCWO), 96 Waterloo Street, Singapore 187967; Sculpture Square, 161 Middle Road, Singapore 188978; Waterloo Apartments, 64 Waterloo Street, Singapore 187959; Peony Mansion, 48 Bencoolen Street, Singapore 189627; 127 Bencoolen Street, Singapore 189637"
55,3,LEONIE HILL,RVSZ03,Y,RIVER VALLEY,RV,CENTRAL REGION,CR,29BCAA5838A4EAC0,2014/12/05,28082.93970000000,31145.10790000000,2676.35256334000,368482.98826000001,"Rivershire, 31 Leonie Hill, Singapore 239229; Bus stop opposite River Valley Primary School (13071); 2 River Valley Grove, Singapore 238405; Leonie Hill Residences, 1 Leonie Hill Road, Singapore 239191; Bus stop at River Valley Primary School (13079)"
56,15,PORT,QTSZ15,N,QUEENSTOWN,QT,CENTRAL REGION,CR,543ED13CCC907021,2014/12/05,21576.07650000000,28788.21720000000,23438.81853600000,7601893.99531999975,
