"Project Name","Address","No. of Units","Area (sqm)","Type of Area","Transacted Price ($)","Unit Price ($ psm)","Unit Price ($ psf)","Contract Date","Property Type","Tenure","Completion Date","Type of Sale","Purchaser Address Indicator","Postal District","Postal Sector","Postal Code","Planning Region","Planning Area","Postal Code","latitude","longitude"
"1 CANBERRA","11 Canberra Drive  #02-24 ","1","97","Strata","735600","7584","705","2013-11-15","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768071","North Region","Yishun","768071","1.43722031279163","103.828938582947"
"1 CANBERRA","7 Canberra Drive  #06-15 ","1","88","Strata","679712","7724","718","2013-09-16","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768069","North Region","Yishun","768069","1.43742444610052","103.829624873694"
"1 CANBERRA","1 Canberra Drive  #07-03 ","1","88","Strata","684500","7778","723","2013-12-19","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","Private","27","76","768101","North Region","Yishun","768101","1.437691663955","103.830277394333"
"1 CANBERRA","25 Canberra Drive  #10-50 ","1","88","Strata","700712","7963","740","2013-08-05","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768078","North Region","Yishun","768078","1.43824107091949","103.830028911906"
"1 CANBERRA","21 Canberra Drive  #02-42 ","1","88","Strata","683500","7767","722","2013-11-13","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768076","North Region","Yishun","768076","1.43866585646089","103.829737218736"
"1 CANBERRA","11 Canberra Drive  #09-24 ","1","97","Strata","771300","7952","739","2013-09-03","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768071","North Region","Yishun","768071","1.43722031279163","103.828938582947"
"1 CANBERRA","7 Canberra Drive  #03-16 ","1","99","Strata","730000","7374","685","2013-11-11","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768069","North Region","Yishun","768069","1.43742444610052","103.829624873694"
"1 CANBERRA","11 Canberra Drive  #07-24 ","1","97","Strata","757612","7810","726","2013-08-06","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768071","North Region","Yishun","768071","1.43722031279163","103.828938582947"
"1 CANBERRA","23 Canberra Drive  #06-47 ","1","97","Strata","770312","7941","738","2013-11-07","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768077","North Region","Yishun","768077","1.43847229844254","103.829893423878"
"1 CANBERRA","19 Canberra Drive  #02-40 ","1","98","Strata","769412","7851","729","2013-08-05","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768075","North Region","Yishun","768075","1.4380951231929","103.82964027096"
"1 CANBERRA","5 Canberra Drive  #02-12 ","1","88","Strata","679100","7717","717","2014-01-02","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768103","North Region","Yishun","768103","1.43751100669455","103.829826850122"
"1 CANBERRA","5 Canberra Drive  #04-11 ","1","99","Strata","737612","7451","692","2013-08-23","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768103","North Region","Yishun","768103","1.43751100669455","103.829826850122"
"1 CANBERRA","1 Canberra Drive  #13-04 ","1","88","Strata","702800","7986","742","2013-12-18","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768101","North Region","Yishun","768101","1.437691663955","103.830277394333"
"1 CANBERRA","25 Canberra Drive  #05-50 ","1","88","Strata","691312","7856","730","2013-08-06","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768078","North Region","Yishun","768078","1.43824107091949","103.830028911906"
"1 CANBERRA","5 Canberra Drive  #05-12 ","1","88","Strata","678700","7713","717","2013-12-04","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","Private","27","76","768103","North Region","Yishun","768103","1.43751100669455","103.829826850122"
"1 CANBERRA","11 Canberra Drive  #08-24 ","1","97","Strata","761512","7851","729","2013-08-06","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768071","North Region","Yishun","768071","1.43722031279163","103.828938582947"
"1 CANBERRA","3 Canberra Drive  #11-07 ","1","88","Strata","695112","7899","734","2013-11-04","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768102","North Region","Yishun","768102","1.43760510340114","103.830075417872"
"1 CANBERRA","23 Canberra Drive  #11-45 ","1","89","Strata","717312","8060","749","2013-08-23","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","Private","27","76","768077","North Region","Yishun","768077","1.43847229844254","103.829893423878"
"1 CANBERRA","5 Canberra Drive  #03-12 ","1","88","Strata","672900","7647","710","2013-11-01","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768103","North Region","Yishun","768103","1.43751100669455","103.829826850122"
"1 CANBERRA","25 Canberra Drive  #11-50 ","1","88","Strata","711500","8085","751","2013-08-28","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768078","North Region","Yishun","768078","1.43824107091949","103.830028911906"
"1 CANBERRA","25 Canberra Drive  #04-50 ","1","88","Strata","689300","7833","728","2013-12-02","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768078","North Region","Yishun","768078","1.43824107091949","103.830028911906"
"1 CANBERRA","13 Canberra Drive  #04-26 ","1","100","Strata","799200","7992","742","2013-08-22","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768072","North Region","Yishun","768072","1.43741110401792","103.829105336868"
"1 CANBERRA","23 Canberra Drive  #10-45 ","1","89","Strata","714412","8027","746","2013-10-29","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768077","North Region","Yishun","768077","1.43847229844254","103.829893423878"
"1 CANBERRA","1 Canberra Drive  #11-03 ","1","88","Strata","695112","7899","734","2013-09-19","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768101","North Region","Yishun","768101","1.437691663955","103.830277394333"
"1 CANBERRA","7 Canberra Drive  #04-15 ","1","88","Strata","675800","7680","713","2013-10-29","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768069","North Region","Yishun","768069","1.43742444610052","103.829624873694"
"1 CANBERRA","1 Canberra Drive  #09-03 ","1","88","Strata","689312","7833","728","2013-09-26","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768101","North Region","Yishun","768101","1.437691663955","103.830277394333"
"1 CANBERRA","1 Canberra Drive  #05-03 ","1","88","Strata","678000","7705","716","2013-12-30","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768101","North Region","Yishun","768101","1.437691663955","103.830277394333"
"1 CANBERRA","21 Canberra Drive  #10-43 ","1","98","Strata","788512","8046","747","2013-08-27","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","Private","27","76","768076","North Region","Yishun","768076","1.43866585646089","103.829737218736"
"1 CANBERRA","1 Canberra Drive  #09-04 ","1","88","Strata","691200","7855","730","2013-11-28","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768101","North Region","Yishun","768101","1.437691663955","103.830277394333"
"1 CANBERRA","1 Canberra Drive  #13-01 ","1","218","Strata","1438000","6596","613","2013-08-14","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768101","North Region","Yishun","768101","1.437691663955","103.830277394333"
"1 CANBERRA","1 Canberra Drive  #03-03 ","1","88","Strata","682900","7760","721","2013-12-16","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768101","North Region","Yishun","768101","1.437691663955","103.830277394333"
"1 CANBERRA","21 Canberra Drive  #08-43 ","1","98","Strata","780192","7961","740","2013-08-27","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768076","North Region","Yishun","768076","1.43866585646089","103.829737218736"
"1 CANBERRA","5 Canberra Drive  #10-12 ","1","88","Strata","686212","7798","724","2013-12-13","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768103","North Region","Yishun","768103","1.43751100669455","103.829826850122"
"1 CANBERRA","11 Canberra Drive  #11-23 ","1","98","Strata","781900","7979","741","2013-08-26","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768071","North Region","Yishun","768071","1.43722031279163","103.828938582947"
"1 CANBERRA","1 Canberra Drive  #06-04 ","1","88","Strata","681600","7745","720","2013-11-27","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768101","North Region","Yishun","768101","1.437691663955","103.830277394333"
"1 CANBERRA","3 Canberra Drive  #12-07 ","1","88","Strata","698012","7932","737","2013-08-22","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768102","North Region","Yishun","768102","1.43760510340114","103.830075417872"
"1 CANBERRA","5 Canberra Drive  #04-12 ","1","88","Strata","675800","7680","713","2013-11-27","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768103","North Region","Yishun","768103","1.43751100669455","103.829826850122"
"1 CANBERRA","15 Canberra Drive  #09-32 ","1","97","Strata","760000","7835","728","2013-08-22","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768073","North Region","Yishun","768073","1.43761708401909","103.829271000793"
"1 CANBERRA","23 Canberra Drive  #03-45 ","1","89","Strata","695100","7810","726","2013-11-26","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768077","North Region","Yishun","768077","1.43847229844254","103.829893423878"
