postcode,subzone,district
120349,3804.0,05
120350,3804.0,05
120351,3804.0,05
120352,3804.0,05
120354,3804.0,05
120355,3804.0,05
120356,3804.0,05
120357,3804.0,05
120358,3804.0,05
120359,3804.0,05
120362,3804.0,05
120363,3804.0,05
120364,3804.0,05
120365,3804.0,05
120366,3804.0,05
120367,3804.0,05
120371,3804.0,05
120372,3804.0,05
120373,3804.0,05
120374,3804.0,05
120375,3804.0,05
120376,3804.0,05
120377,3804.0,05
120378,3804.0,05
120379,3804.0,05
120380,3804.0,05
120381,3804.0,05
120405,3807.0,05
120406,3807.0,05
120410,3807.0,05
120411,3807.0,05
120412,3807.0,05
120413,3807.0,05
120414,3807.0,05
120415,3807.0,05
120416,3807.0,05
120417,3807.0,05
120418,3807.0,05
120419,3807.0,05
120420,3807.0,05
120421,3807.0,05
120422,3807.0,05
120423,3807.0,05
120424,3807.0,05
120425,3807.0,05
120426,3807.0,05
120427,3807.0,05
120428,3807.0,05
120429,3807.0,05
120430,3807.0,05
120431,3807.0,05
120432,3807.0,05
120433,3807.0,05
120434,3807.0,05
120435,3807.0,05
120442,3807.0,05
120443,3807.0,05
120446,3807.0,05
120449,3807.0,05
120450,3807.0,05
120454,3807.0,05
120455,3807.0,05
120456,3807.0,05
120457,3807.0,05
120458,3807.0,05
120459,3807.0,05
120460,3807.0,05
120461,3807.0,05
120462,3807.0,05
120501,3806.0,05
120505,3806.0,05
120506,3806.0,05
120507,3806.0,05
120508,3806.0,05
120509,3806.0,05
120510,3806.0,05
120511,3806.0,05
120512,3806.0,05
120513,3806.0,05
120514,3806.0,05
120515,3806.0,05
120516,3806.0,05
120518,3806.0,05
120519,3806.0,05
120520,3806.0,05
120601,3807.0,05
120602,3807.0,05
120603,3807.0,05
120604,3807.0,05
120605,3807.0,05
120606,3807.0,05
120607,3807.0,05
120608,3807.0,05
120609,3807.0,05
120610,3807.0,05
120611,3807.0,05
120612,3807.0,05
120613,3807.0,05
120701,3808.0,05
120702,3808.0,05
120703,3808.0,05
120704,3808.0,05
120705,3808.0,05
120706,3808.0,05
120707,3808.0,05
120708,3808.0,05
120709,3808.0,05
120710,3808.0,05
120711,3808.0,05
120712,3808.0,05
120713,3808.0,05
120714,3808.0,05
120715,3808.0,05
120716,3808.0,05
120717,3808.0,05
120721,3808.0,05
120722,3808.0,05
120723,3808.0,05
120724,3808.0,05
120725,3808.0,05
120727,3808.0,05
120728,3808.0,05
120729,3808.0,05
120730,3808.0,05
120731,3808.0,05
121441,3806.0,05
122441,3806.0,05
126793,3808.0,05
126794,3808.0,05
126805,3808.0,05
126818,3808.0,05
126823,3808.0,05
126828,3808.0,05
126834,3808.0,05
126869,3808.0,05
126897,3808.0,05
127017,3805.0,05
127018,3805.0,05
127020,3805.0,05
127021,3805.0,05
127302,3807.0,05
127308,3807.0,05
127466,3805.0,05
127468,3805.0,05
127472,3805.0,05
127476,3805.0,05
127714,3805.0,05
127716,3805.0,05
127717,3805.0,05
127718,3805.0,05
127725,3805.0,05
127726,3805.0,05
127727,3805.0,05
127999,3805.0,05
128001,3805.0,05
128002,3805.0,05
128015,3805.0,05
128016,3805.0,05
128017,3805.0,05
128018,3805.0,05
128021,3805.0,05
128035,3805.0,05
128036,3805.0,05
128040,3805.0,05
128041,3805.0,05
128042,3805.0,05
128047,3805.0,05
128048,3805.0,05
128634,3806.0,05
128729,3806.0,05
128793,3806.0,05
128794,3806.0,05
128798,3806.0,05
129130,3803.0,05
129196,3803.0,05
129203,3803.0,05
129204,3803.0,05
129523,3803.0,05
130001,911.0,05
130002,911.0,05
130003,911.0,05
130004,911.0,05
130005,911.0,05
130012,911.0,05
130013,911.0,05
